,Image_id,Label,Class,ImageCount,CountInt,ElytraColor,SpotColor,ElytraFloat,SpotFloat
0,im-001,0,Coccinella septempunctata,5,5-7,Orange,Black,2,0
1,im-002,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
2,im-003,1,Harmonia axyridis,18,8+,Red,Black,1,0
3,im-004,1,Harmonia axyridis,18,8+,Orange,Black,2,0
4,im-005,1,Harmonia axyridis,17,8+,Red,Black,1,0
5,im-006,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
6,im-007,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
7,im-008,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
8,im-009,1,Harmonia axyridis,17,8+,Orange,Black,2,0
9,im-010,1,Harmonia axyridis,14,8+,Orange,Black,2,0
10,im-011,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
11,im-012,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
12,im-013,1,Harmonia axyridis,18,8+,Red,Black,1,0
13,im-014,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
14,im-015,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
15,im-016,1,Harmonia axyridis,16,8+,Red,Black,1,0
16,im-017,1,Harmonia axyridis,17,8+,Orange,Black,2,0
17,im-018,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
18,im-019,1,Harmonia axyridis,4,1-4,Black,Red,0,1
19,im-020,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
20,im-021,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
21,im-022,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
22,im-023,1,Harmonia axyridis,19,8+,Orange,Black,2,0
23,im-024,1,Harmonia axyridis,18,8+,Orange,Black,2,0
24,im-025,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
25,im-026,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
26,im-027,1,Harmonia axyridis,12,8+,Yellow,Black,3,0
27,im-028,1,Harmonia axyridis,18,8+,Red,Black,1,0
28,im-029,1,Harmonia axyridis,2,1-4,Black,Red,0,1
29,im-030,0,Coccinella septempunctata,7,5-7,Yellow,Black,3,0
30,im-031,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
31,im-032,0,Coccinella septempunctata,5,5-7,Orange,Black,2,0
32,im-033,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
33,im-034,1,Harmonia axyridis,13,8+,Red,Black,1,0
34,im-035,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
35,im-036,1,Harmonia axyridis,19,8+,Orange,Black,2,0
36,im-037,1,Harmonia axyridis,16,8+,Orange,Black,2,0
37,im-038,1,Harmonia axyridis,19,8+,Orange,Black,2,0
38,im-039,1,Harmonia axyridis,15,8+,Yellow,Black,3,0
39,im-040,1,Harmonia axyridis,2,1-4,Red,Black,1,0
40,im-041,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
41,im-042,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
42,im-043,1,Harmonia axyridis,14,8+,Yellow,Black,3,0
43,im-044,1,Harmonia axyridis,17,8+,Red,Black,1,0
44,im-045,1,Harmonia axyridis,16,8+,Yellow,Black,3,0
45,im-046,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
46,im-047,1,Harmonia axyridis,2,1-4,Black,Red,0,1
47,im-048,1,Harmonia axyridis,19,8+,Yellow,Black,3,0
48,im-049,1,Harmonia axyridis,14,8+,Orange,Black,2,0
49,im-050,1,Harmonia axyridis,15,8+,Orange,Black,2,0
50,im-051,1,Harmonia axyridis,10,8+,Orange,Black,2,0
51,im-052,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
52,im-053,1,Harmonia axyridis,4,1-4,Black,Red,0,1
53,im-054,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
54,im-055,1,Harmonia axyridis,19,8+,Orange,Black,2,0
55,im-056,1,Harmonia axyridis,13,8+,Orange,Black,2,0
56,im-057,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
57,im-058,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
58,im-059,1,Harmonia axyridis,18,8+,Red,Black,1,0
59,im-060,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
60,im-061,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
61,im-062,1,Harmonia axyridis,16,8+,Orange,Black,2,0
62,im-063,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
63,im-064,1,Harmonia axyridis,14,8+,Orange,Black,2,0
64,im-065,1,Harmonia axyridis,12,8+,Orange,Black,2,0
65,im-066,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
66,im-067,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
67,im-068,1,Harmonia axyridis,15,8+,Orange,Black,2,0
68,im-069,1,Harmonia axyridis,14,8+,Yellow,Black,3,0
69,im-070,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
70,im-071,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
71,im-072,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
72,im-073,1,Harmonia axyridis,16,8+,Red,Black,1,0
73,im-074,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
74,im-075,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
75,im-076,1,Harmonia axyridis,16,8+,Red,Black,1,0
76,im-077,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
77,im-078,1,Harmonia axyridis,17,8+,Red,Black,1,0
78,im-079,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
79,im-080,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
80,im-081,1,Harmonia axyridis,15,8+,Orange,Black,2,0
81,im-082,1,Harmonia axyridis,13,8+,Orange,Black,2,0
82,im-083,1,Harmonia axyridis,15,8+,Red,Black,1,0
83,im-084,1,Harmonia axyridis,19,8+,Red,Black,1,0
84,im-085,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
85,im-086,1,Harmonia axyridis,16,8+,Orange,Black,2,0
86,im-087,1,Harmonia axyridis,18,8+,Orange,Black,2,0
87,im-088,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
88,im-089,1,Harmonia axyridis,15,8+,Orange,Black,2,0
89,im-090,1,Harmonia axyridis,15,8+,Red,Black,1,0
90,im-091,1,Harmonia axyridis,14,8+,Red,Black,1,0
91,im-092,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
92,im-093,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
93,im-094,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
94,im-095,1,Harmonia axyridis,16,8+,Yellow,Black,3,0
95,im-096,1,Harmonia axyridis,17,8+,Orange,Black,2,0
96,im-097,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
97,im-098,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
98,im-099,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
99,im-100,0,Coccinella septempunctata,6,5-7,Orange,Black,2,0
100,im-101,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
101,im-102,0,Coccinella septempunctata,6,5-7,Yellow,Black,3,0
102,im-103,1,Harmonia axyridis,19,8+,Orange,Black,2,0
103,im-104,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
104,im-105,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
105,im-106,1,Harmonia axyridis,2,1-4,Black,Red,0,1
106,im-107,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
107,im-108,1,Harmonia axyridis,16,8+,Yellow,Black,3,0
108,im-109,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
109,im-110,0,Coccinella septempunctata,6,5-7,Orange,Black,2,0
110,im-111,1,Harmonia axyridis,15,8+,Red,Black,1,0
111,im-112,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
112,im-113,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
113,im-114,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
114,im-115,1,Harmonia axyridis,15,8+,Orange,Black,2,0
115,im-116,1,Harmonia axyridis,3,1-4,Black,Orange,0,2
116,im-117,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
117,im-118,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
118,im-119,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
119,im-120,1,Harmonia axyridis,2,1-4,Black,Red,0,1
